Galaxy,q,Rc,chi2_red,cov_ok,ndata
3.36,1.0000000000000002,499.99999933454296,12.217136434461123,True,9
15.2,1.9467013580467931,0.010000000000000002,0.2459719334242957,True,11
8.79,1.0000000000000036,0.693943488449844,0.2721869673054058,True,6
7.72,1.0000000000000002,1.6509616805731995,12.345812843972713,True,16
6.8,1.6059912057818824,0.9597218952532114,0.6261975509392761,True,29
4.04,1.1528818112661257,0.6124329996738797,6.063638700635489,True,12
7.5,1.0000000000000002,4.21875748811794,2.3773739138573506,True,31
4.25,1.0000000000000002,1.3486736059456172,6.160368125514533,True,10
15.4,1.5588635370513213,0.9994714951857719,6.780826913223714,True,8
28.7,1.0000000000000002,53.799021506637246,39.97574584712676,True,45
13.0,1.0000000000000056,3.7422401551570537,1.9280463881544034,True,15
4.83,1.0000000000000002,0.4035958164229354,3.749538235519772,True,7
60.8,1.0000000000000002,38.043834594600874,16.29660927182383,True,30
66.4,1.0000000038304158,499.99999154909824,1.038038251850474,True,6
48.9,1.7492633040803252,0.01000000328606747,0.9450186957243477,True,17
54.0,1.000000000008541,499.9999999935827,0.2354075591201261,True,6
59.7,1.7840463070735788,0.010000000000000052,0.41492755310209334,True,10
51.8,1.7496548508833738,0.010000000000025554,0.29988954320714273,True,7
79.0,1.765105657772727,13.746990184973157,0.47111755248473797,True,5
90.7,1.8002422379041754,0.010000000000000002,1.0637793750234077,True,12
82.4,1.4468629547838388,2.905818005149335,1.3430043089951604,True,18
80.6,1.0000000000000002,56.66654807076924,16.27925505285767,True,34
53.3,1.0000000000000007,5.784655486140808,41.390646907170286,True,25
80.1,1.3203124264445425,2.2041453666501436,0.1332221762633509,True,7
96.8,1.7677901837445802,0.3313971427840027,1.4819541237494407,True,14
89.1,1.0000000000000082,499.99999999910654,1.2003208491314517,True,5
89.5,1.9414742654325656,0.010000000000000347,1.432583586062454,True,14
35.4,1.7826630561189112,0.010000000000127776,2.102745031862649,True,25
3.91,1.0739707824312557,3.9866095727820667,2.995216559821356,True,34
100.4,1.0000000000002065,113.21512171608735,57.019152307403296,True,32
7.3,1.3177271431934763,1.5437918115021987,1.818274571235354,True,29
2.11,1.0495822090624156,7.977983393247834,2.6083985241904357,True,21
13.5,1.0000000000000002,4.57795382444545,1.5978654388649496,True,21
3.7,1.9524599975328478,0.010000000000336028,2.2381429157819204,True,26
20.8,1.0000000000000002,29.60666775416422,4.726059015315402,True,28
2.08,1.0000000000000002,3.11441437240217,0.7102367855785154,True,25
80.7,1.00000000000434,367.542528197493,56.80991854622244,True,13
9.91,1.000000000000095,499.9999999814033,245.37022978590412,True,18
11.4,1.0000000000000022,6.519519862225644,15.829300922935397,True,36
37.0,1.0000000000000002,47.48708041324787,18.795805874038436,True,24
5.73,1.0000000000000002,0.764933299116178,0.33931459921952195,True,14
3.27,1.050110634623707,2.1400402575732524,2.1678807533972906,True,26
3.16,1.0000000000000002,8.063982866894836,56.27379671715654,True,73
9.81,1.0000000000000182,80.79720365933439,11.212745410737465,True,11
14.1,1.0000000000000002,19.847809100425735,6.113093086730466,True,50
6.6,1.0000000000000002,140.853462254009,211.23982831233866,True,34
4.06,1.0000000000000082,0.8691097161720739,2.074801161278475,True,30
97.9,1.0000000000023028,499.99999992585475,66.6215384919817,True,24
