Galaxy,q,Rc,chi2_red,cov_ok,ndata
CamB,1.0000000000000002,499.999999525808,3.103138635260549,True,9
D512-2,1.0000000000000002,499.9999971155659,0.6827048231123111,True,4
D564-8,1.0000000000000002,499.99999744360804,0.42263787134644915,True,6
D631-7,1.0000000000000002,499.99999809818365,0.5513834387075314,True,16
DDO064,1.0000000000000002,499.99999855590727,0.44389125550458464,True,14
DDO154,1.0000000000000002,499.9999994135878,0.2681673543003146,True,12
DDO161,1.0000000000000002,499.99999786745644,0.46099429088399235,True,31
DDO168,1.0000000000000002,499.9999994507357,0.5312246373885936,True,10
DDO170,1.0000000000000002,499.9999959973266,0.2832063031139178,True,8
ESO079-G014,1.0000000000000002,499.9999999996724,0.843159009612548,True,15
ESO116-G012,1.0000000000000002,499.9999964753504,0.553678094890183,True,15
ESO444-G084,1.0000000000000002,499.99999923501275,0.23244572496079532,True,7
ESO563-G021,1.0000000000000002,499.99999852107175,1.4577551549905308,True,30
F561-1,1.0000000000000002,499.9999999769497,1.597603155812639,True,6
F563-1,1.0000000000000002,499.9999999999952,0.19470136929624818,True,17
F563-V1,1.0000000000000002,499.9999999999997,1.2426578544322446,True,6
F563-V2,1.0000000000000002,499.99999669358687,0.37007042645438304,True,10
F565-V2,1.0000000000000002,499.99999999999915,0.28242199373845767,True,7
F567-2,1.0000000000000002,499.9999999973013,0.9647886525900953,True,5
F568-1,1.0000000000000002,499.99999999990786,0.36104019059091236,True,12
F568-3,1.0000000000000002,499.9999999991037,0.5534709162255673,True,18
F568-V1,1.0000000000000002,499.9999999989488,0.5911235387913307,True,15
F571-8,1.0000000000000002,499.99999999999983,2.6283968822518173,True,13
F571-V1,1.0000000000000002,499.99999999768795,0.43672883288654313,True,7
F574-1,1.0000000000000002,499.99999999998505,0.43437622293365147,True,14
F574-2,1.0000000000000002,499.99999999977905,2.997361827139447,True,5
F579-V1,1.0000000000000002,499.9999999998575,0.4474313734662793,True,14
F583-1,1.0000000000000002,499.99999999996624,0.39234062570627737,True,25
F583-4,1.0000000000000002,499.9999999999998,0.5078161242917962,True,12
IC2574,1.0000000000000002,499.9999989405086,0.33584197515003716,True,34
IC4202,1.0000000000000002,499.9999999999972,0.6439165954019226,True,32
KK98-251,1.0000000000000002,499.99999841244863,0.5227674564097126,True,15
NGC0024,1.0000000000000002,499.99999851030185,0.4976456774471782,True,29
NGC0055,1.0000000000000002,499.99999991239974,0.5218009150979548,True,21
NGC0100,1.0000000000000002,499.99999663343203,0.7305667710337257,True,21
NGC0247,1.0000000000000002,499.9999992032052,0.34345367034439206,True,26
