gal,q,Rc,Sigma_bar,Mstar,Mgas,D,Reff,ndata
ESO079-G014,1.0000000000000002,499.9999999996724,515941.5122010268,500000000.0,9615900000.0,4.0,79.0,15
ESO563-G021,1.0000000000000002,499.99999852107175,673893.772249199,500000000.0,14084700000.0,4.0,83.0,30
F561-1,1.0000000000000002,499.9999999769497,4237887.194752839,500000000.0,7168700000.0,9.0,24.0,6
F563-1,1.0000000000000002,499.9999999999952,3377293.3572009136,500000000.0,6131300000.0,9.0,25.0,17
F563-V1,1.0000000000000002,499.9999999999997,633374.7799167633,500000000.0,6663300000.0,10.0,60.0,6
F563-V2,1.0000000000000002,499.99999669358687,2449472.164584588,500000000.0,5971700000.0,10.0,29.0,10
F565-V2,1.0000000000000002,499.99999999999915,464033.92046698666,500000000.0,4748100000.0,10.0,60.0,7
F567-2,1.0000000000000002,499.9999999973013,6144892.775306533,500000000.0,7221900000.0,9.0,20.0,5
F568-1,1.0000000000000002,499.99999999990786,4619260.330566548,500000000.0,9310000000.0,5.0,26.0,12
F568-3,1.0000000000000002,499.9999999991037,2075997.1833227964,500000000.0,9935100000.0,7.0,40.0,18
F568-V1,1.0000000000000002,499.9999999989488,1263690.248149649,500000000.0,5852000000.0,7.0,40.0,15
F571-8,1.0000000000000002,499.99999999999983,104062.00016139982,500000000.0,1862000000.0,5.0,85.0,13
F571-V1,1.0000000000000002,499.99999999768795,2237152.615629944,500000000.0,5825400000.0,7.0,30.0,7
F574-1,1.0000000000000002,499.99999999998505,625853.7409508562,500000000.0,7807100000.0,7.0,65.0,14
F574-2,1.0000000000000002,499.99999999977905,3224974.295753641,500000000.0,8618400000.0,9.0,30.0,5
F579-V1,1.0000000000000002,499.9999999998575,3842697.2177051464,500000000.0,7660800000.0,5.0,26.0,14
F583-1,1.0000000000000002,499.99999999996624,439025.441911642,500000000.0,4974200000.0,9.0,63.0,25
F583-4,1.0000000000000002,499.9999999999998,515851.4231533213,500000000.0,4402300000.0,5.0,55.0,12
IC4202,1.0000000000000002,499.9999999999972,466520.4708433175,500000000.0,11371500000.000002,4.0,90.0,32
NGC0801,1.0000000000000002,499.99999999886484,538182.4400652441,500000000.0,10320800000.0,5.0,80.0,13
NGC1090,1.0000000000000002,499.9999999999831,696209.6211775743,500000000.0,8458800000.0,4.0,64.0,24
NGC2955,1.0000000000000002,499.9999999999932,1025432.8622960345,500000000.0,9602600000.0,3.0,56.0,24
NGC2998,1.0000000000000002,499.99999998567444,935797.0013021561,500000000.0,9389800000.0,5.0,58.0,13
NGC5371,1.0000000000000002,499.99999999999255,1533644.0012856615,500000000.0,13034000000.0,4.0,53.0,19
NGC5985,1.0000000000000002,499.9999999999926,1303682.3485721292,500000000.0,14244300000.0,3.0,60.0,33
NGC6195,1.0000000000000002,499.99999997333015,1089871.8517160716,500000000.0,12661600000.0,3.0,62.0,23
NGC6674,1.0000000000000002,499.9999999999981,1179744.2026513435,500000000.0,10307500000.0,3.0,54.0,15
UGC00128,1.0000000000000002,499.9999997381363,1303796.9019222124,500000000.0,12807900000.0,8.0,57.0,22
UGC00634,1.0000000000000002,499.9999999997881,1433626.8051366082,500000000.0,5665800000.0,9.0,37.0,4
UGC01230,1.0000000000000002,499.99999999999966,5970612.193635421,500000000.0,8578500000.0,9.0,22.0,11
UGC02487,1.0000000000000002,499.99999997711666,3268546.3999577686,500000000.0,12807900000.0,0.0,36.0,17
UGC02885,1.0000000000000002,499.9999999976631,1299817.1768335165,500000000.0,16226000000.0,5.0,64.0,19
UGC02916,1.0000000000000002,499.99999997118215,537816.3836961327,500000000.0,3724000000.0,2.0,50.0,43
UGC03205,1.0000000000000002,499.9999999999988,540006.4464764219,500000000.0,7115500000.0,2.0,67.0,48
UGC03546,1.0000000000000002,499.99999999967446,413687.1029894065,500000000.0,3431400000.0,1.0,55.0,30
UGC05005,1.0000000000000002,499.9999999999997,1358942.730033666,500000000.0,6676600000.0,10.0,41.0,11
UGC05750,1.0000000000000002,499.9999938574118,948401.8190886185,500000000.0,11704000000.0,8.0,64.0,11
UGC05999,1.0000000000000002,499.99994005008745,4553607.068074273,500000000.0,6423900000.0,10.0,22.0,5
UGC06614,1.0000000000000002,499.99999999959215,1324915.7793440127,500000000.0,4894400000.0,1.0,36.0,13
UGC06786,1.0000000000000002,499.99999999988887,392338.6941863979,500000000.0,4548600000.0,0.0,64.0,45
UGC08699,1.0000000000000002,499.99999999999255,181602.09175540978,500000000.0,2540300000.0,2.0,73.0,41
UGC09037,1.0000000000000002,499.99999999942116,607817.4363940753,500000000.0,7567700000.0,6.0,65.0,22
UGC09133,1.0000000000000002,499.99999999999994,948878.4844957599,500000000.0,7873600000.0,2.0,53.0,68
UGC11455,1.0000000000000002,499.99999999855896,545441.6738584911,500000000.0,13379800000.0,6.0,90.0,36
UGC12506,1.0000000000000002,499.99999999999534,729013.9940630062,500000000.0,16438800000.0,6.0,86.0,31
